pos	tumour	normal
1000000	167.5	178.3
1001000	284.6	210.5
1002000	374.7	233.8
1003000	427.9	247.0
1004000	438.5	249.6
1005000	405.2	241.4
1006000	331.7	222.8
1007000	226.0	194.7
1008000	99.9	158.5
1009000	112.8	116.0
1010000	237.4	69.3
1011000	340.4	39.4
1012000	410.3	87.6
1013000	439.4	133.0
1014000	424.6	173.3
1015000	367.4	206.6
1016000	274.1	231.2
1017000	155.1	245.8
1018000	56.5	249.9
1019000	266.4	243.2
1020000	380.1	225.9
1021000	465.2	199.1
1022000	512.3	163.9
1023000	516.2	122.1
1024000	476.5	75.8
1025000	397.6	32.7
1026000	208.1	81.1
1027000	80.0	127.0
1028000	132.4	168.2
1029000	254.6	202.5
1030000	353.3	228.3
1031000	417.4	244.4
1032000	440.0	250.0
1033000	418.6	244.7
1034000	355.4	228.9
1035000	257.6	203.3
1036000	135.8	169.2
1037000	76.5	128.2
1038000	204.9	82.4
1039000	315.0	34.0
1040000	394.9	74.6
