pos	pool1	pool2
0	0	0
10	0	0
20	0	0
30	0	0
40	0	0
50	0	0
60	311	0
70	312	0
80	312	0
90	312	0
100	312	0
110	312	0
120	312	0
130	312	0
140	312	0
150	312	0
160	312	0
170	312	0
180	312	0
190	312	0
200	312	0
210	312	0
220	312	0
230	312	0
240	312	0
250	312	0
260	312	0
270	312	0
280	312	0
290	312	0
300	312	0
310	312	0
320	312	0
330	312	0
340	312	0
350	312	0
360	312	0
370	312	0
380	312	0
390	312	0
400	312	0
410	312	0
420	312	0
430	312	0
440	312	0
450	312	0
460	312	0
470	312	0
480	312	0
490	312	0
500	312	0
510	312	0
520	312	0
530	312	0
540	312	0
550	312	0
560	312	0
570	312	0
580	312	0
590	312	0
600	312	0
610	312	0
620	312	0
630	312	0
640	312	0
650	312	0
660	312	0
670	312	0
680	312	0
690	312	0
700	312	0
710	312	0
720	312	0
730	312	0
740	312	0
750	312	0
760	312	0
770	312	0
780	312	0
790	312	0
800	312	0
810	312	0
820	312	0
830	312	0
840	312	0
850	312	0
860	312	0
870	312	0
880	312	0
890	312	0
900	312	0
910	312	0
920	312	0
930	312	0
940	312	0
950	312	0
960	312	0
970	312	0
980	312	0
990	312	0
1000	312	0
1010	312	0
1020	312	0
1030	312	0
1040	312	0
1050	312	0
1060	312	0
1070	312	0
1080	312	0
1090	312	0
1100	312	0
1110	312	0
1120	312	0
1130	312	0
1140	312	0
1150	312	0
1160	312	0
1170	312	0
1180	312	0
1190	312	0
1200	312	0
1210	312	0
1220	312	0
1230	312	0
1240	312	0
1250	312	0
1260	312	0
1270	312	0
1280	312	0
1290	312	0
1300	312	0
1310	312	0
1320	312	0
1330	312	0
1340	312	0
1350	312	0
1360	312	0
1370	312	0
1380	312	0
1390	312	0
1400	312	0
1410	312	0
1420	312	0
1430	312	0
1440	312	0
1450	312	0
1460	312	0
1470	312	0
1480	312	0
1490	312	0
1500	312	0
1510	312	0
1520	312	0
1530	312	0
1540	312	0
1550	312	0
1560	312	0
1570	312	0
1580	312	0
1590	312	0
1600	312	0
1610	312	0
1620	312	0
1630	312	0
1640	312	0
1650	312	0
1660	312	0
1670	312	0
1680	312	0
1690	312	0
1700	312	0
1710	312	0
1720	312	0
1730	312	0
1740	312	0
1750	312	0
1760	312	0
1770	312	0
1780	312	0
1790	312	0
1800	312	0
1810	312	0
1820	312	0
1830	312	0
1840	312	0
1850	312	0
1860	312	0
1870	312	0
1880	312	0
1890	312	0
1900	312	255
1910	312	257
1920	311	259
1930	311	259
1940	311	260
1950	311	261
1960	311	262
1970	311	263
1980	311	263
1990	311	263
2000	311	263
2010	311	263
2020	311	263
2030	311	263
2040	311	263
2050	311	263
2060	311	263
2070	311	263
2080	311	263
2090	311	264
2100	311	264
2110	311	264
2120	311	264
2130	311	264
2140	311	264
2150	311	264
2160	311	264
2170	311	264
2180	311	264
2190	311	264
2200	311	264
2210	311	264
2220	311	264
2230	311	264
2240	311	264
2250	311	264
2260	311	264
2270	311	264
2280	311	264
2290	311	264
2300	310	264
2310	310	264
2320	310	264
2330	310	264
2340	310	264
2350	310	264
2360	310	264
2370	310	264
2380	310	264
2390	310	264
2400	310	264
2410	310	264
2420	310	264
2430	310	264
2440	310	264
2450	310	264
2460	310	264
2470	310	264
2480	310	264
2490	310	264
2500	310	264
2510	310	264
2520	310	264
2530	310	264
2540	310	264
2550	310	264
2560	308	264
2570	0	264
2580	0	264
2590	0	264
2600	0	264
2610	0	264
2620	0	264
2630	0	264
2640	0	264
2650	0	264
2660	0	264
2670	0	264
2680	0	264
2690	0	264
2700	0	264
2710	0	264
2720	0	264
2730	0	264
2740	0	264
2750	0	264
2760	0	264
2770	0	264
2780	0	264
2790	0	264
2800	0	264
2810	0	264
2820	0	264
2830	0	264
2840	0	264
2850	0	264
2860	0	264
2870	0	264
2880	0	264
2890	0	264
2900	0	264
2910	0	264
2920	0	264
2930	0	264
2940	0	264
2950	0	264
2960	0	264
2970	0	264
2980	0	264
2990	0	264
3000	0	264
3010	0	264
3020	0	264
3030	0	264
3040	0	264
3050	0	264
3060	0	264
3070	0	264
3080	0	264
3090	0	264
3100	0	264
3110	0	264
3120	0	264
3130	0	264
3140	0	264
3150	0	264
3160	0	264
3170	0	264
3180	0	264
3190	0	264
3200	0	264
3210	0	264
3220	0	264
3230	0	264
3240	0	264
3250	0	264
3260	0	264
3270	0	264
3280	0	264
3290	0	264
3300	0	264
3310	0	264
3320	0	264
3330	0	264
3340	0	264
3350	0	264
3360	0	264
3370	0	264
3380	0	264
3390	0	264
3400	0	264
3410	0	264
3420	0	264
3430	0	264
3440	0	264
3450	0	264
3460	0	264
3470	0	264
3480	0	264
3490	0	264
3500	0	264
3510	0	264
3520	0	264
3530	0	264
3540	0	264
3550	0	264
3560	0	264
3570	0	264
3580	0	264
3590	0	264
3600	0	264
3610	0	264
3620	0	264
3630	0	264
3640	0	264
3650	0	264
3660	0	264
3670	0	264
3680	0	264
3690	0	264
3700	0	264
3710	0	264
3720	0	264
3730	0	264
3740	0	264
3750	0	264
3760	0	264
3770	0	264
3780	0	264
3790	0	264
3800	0	264
3810	0	264
3820	0	264
3830	0	264
3840	0	264
3850	0	264
3860	0	264
3870	0	264
3880	0	264
3890	0	264
3900	0	264
3910	0	264
3920	0	264
3930	0	264
3940	0	264
3950	0	264
3960	0	264
3970	0	264
3980	0	264
3990	0	264
4000	0	264
4010	0	264
4020	0	264
4030	0	264
4040	0	264
4050	0	264
4060	0	264
4070	0	264
4080	0	264
4090	0	264
4100	0	264
4110	0	264
4120	0	264
4130	0	264
4140	0	264
4150	0	264
4160	0	264
4170	0	264
4180	0	264
4190	0	264
4200	0	264
4210	0	264
4220	0	264
4230	0	264
4240	0	264
4250	0	264
4260	0	264
4270	0	264
4280	0	264
4290	0	264
4300	0	264
4310	0	264
4320	0	264
4330	221	264
4340	222	264
4350	223	264
4360	223	263
4370	223	263
4380	223	262
4390	223	261
4400	223	261
4410	223	261
4420	223	260
4430	223	0
4440	223	0
4450	223	0
4460	223	0
4470	223	0
4480	223	0
4490	223	0
4500	224	0
4510	224	0
4520	224	0
4530	224	0
4540	224	0
4550	224	0
4560	224	0
4570	224	0
4580	224	0
4590	224	0
4600	224	0
4610	225	0
4620	225	0
4630	225	0
4640	225	0
4650	225	0
4660	226	0
4670	226	0
4680	226	0
4690	226	0
4700	226	0
4710	226	0
4720	226	0
4730	226	0
4740	226	0
4750	226	0
4760	226	0
4770	226	0
4780	226	0
4790	226	0
4800	226	0
4810	226	0
4820	226	0
4830	226	0
4840	226	0
4850	226	0
4860	226	0
4870	226	0
4880	226	0
4890	226	0
4900	226	0
4910	226	0
4920	226	0
4930	226	0
4940	226	0
4950	226	0
4960	226	0
4970	226	0
4980	226	0
4990	226	0
5000	226	0
5010	226	0
5020	226	0
5030	226	0
5040	226	0
5050	226	0
5060	226	0
5070	226	0
5080	226	0
5090	226	0
5100	226	0
5110	226	0
5120	226	0
5130	226	0
5140	226	0
5150	226	0
5160	226	0
5170	226	0
5180	226	0
5190	226	0
5200	226	0
5210	226	0
5220	226	0
5230	226	0
5240	226	0
5250	226	0
5260	226	0
5270	226	0
5280	226	0
5290	226	0
5300	226	0
5310	226	0
5320	226	0
5330	226	0
5340	226	0
5350	226	0
5360	226	0
5370	226	0
5380	226	0
5390	226	0
5400	226	0
5410	226	0
5420	226	0
5430	226	0
5440	226	0
5450	226	0
5460	226	0
5470	226	0
5480	226	0
5490	226	0
5500	226	0
5510	226	0
5520	226	0
5530	226	0
5540	226	0
5550	226	0
5560	226	0
5570	226	0
5580	226	0
5590	226	0
5600	226	0
5610	226	0
5620	226	0
5630	226	0
5640	226	0
5650	226	0
5660	226	0
5670	226	0
5680	226	0
5690	226	0
5700	226	0
5710	226	0
5720	226	0
5730	226	0
5740	226	0
5750	226	0
5760	226	0
5770	226	0
5780	226	0
5790	226	0
5800	226	0
5810	226	0
5820	226	0
5830	226	0
5840	226	0
5850	226	0
5860	226	0
5870	226	0
5880	226	0
5890	226	0
5900	226	0
5910	226	0
5920	226	0
5930	226	0
5940	226	0
5950	226	0
5960	226	0
5970	226	0
5980	226	0
5990	226	0
6000	226	0
6010	226	0
6020	226	0
6030	226	0
6040	226	0
6050	226	0
6060	226	0
6070	226	0
6080	226	0
6090	226	0
6100	226	0
6110	226	0
6120	226	0
6130	226	0
6140	226	0
6150	226	0
6160	226	0
6170	226	0
6180	226	0
6190	226	0
6200	226	0
6210	226	0
6220	226	0
6230	226	0
6240	226	0
6250	226	0
6260	226	0
6270	226	0
6280	226	0
6290	226	0
6300	226	0
6310	226	246
6320	226	255
6330	226	257
6340	226	257
6350	226	257
6360	226	257
6370	226	257
6380	226	257
6390	226	257
6400	226	257
6410	226	257
6420	226	257
6430	226	257
6440	226	257
6450	226	257
6460	226	257
6470	226	257
6480	226	257
6490	226	257
6500	226	257
6510	226	257
6520	226	257
6530	226	257
6540	226	257
6550	226	257
6560	226	257
6570	226	257
6580	226	257
6590	226	257
6600	225	257
6610	225	257
6620	225	257
6630	224	257
6640	223	257
6650	223	257
6660	223	257
6670	223	257
6680	223	257
6690	223	257
6700	223	257
6710	223	257
6720	223	257
6730	223	257
6740	223	257
6750	223	257
6760	223	257
6770	223	257
6780	223	257
6790	223	257
6800	223	257
6810	223	257
6820	223	257
6830	223	257
6840	221	257
